transaction_id,customer_id,customer_name,customer_email,customer_phone,customer_address,customer_city,customer_state,customer_zip_code,customer_ip_address,customer_segment,customer_country,transaction_datetime,transaction_date,transaction_time,merchant_name,merchant_category,amount,payment_method,payment_status,response_code,response_text,card_last4,transaction_type,customer_lifetime_value,customer_acquisition_channel,days_since_acquisition,transaction_count,device_type,is_mobile,session_duration_seconds,pages_viewed,is_fraudulent,fraud_indicators,risk_score,fraud_type,processing_time_ms
VEL_ATTACK_000,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 10:55:58.249916,2025-07-09,10:55:58,Electronics Store,Electronics,500.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
VEL_ATTACK_001,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 10:57:13.249916,2025-07-09,10:57:13,Electronics Store,Electronics,600.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
VEL_ATTACK_002,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 10:58:28.249916,2025-07-09,10:58:28,Electronics Store,Electronics,700.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
VEL_ATTACK_003,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 10:59:43.249916,2025-07-09,10:59:43,Electronics Store,Electronics,800.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
VEL_ATTACK_004,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 11:00:58.249916,2025-07-09,11:00:58,Electronics Store,Electronics,900.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
VEL_ATTACK_005,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 11:02:13.249916,2025-07-09,11:02:13,Electronics Store,Electronics,1000.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
VEL_ATTACK_006,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 11:03:28.249916,2025-07-09,11:03:28,Electronics Store,Electronics,1100.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
VEL_ATTACK_007,FRAUD_TEST_002,Justin Mcclain,richard88@example.net,585.554.6938,"143 Nicholas Turnpike
Sharonton, GU 74227",Wilsonport,Tennessee,44360,204.53.227.153,high_risk,US,2025-07-09 11:04:43.249916,2025-07-09,11:04:43,Electronics Store,Electronics,1200.0,amex,completed,00,Approved,9876,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
NIGHT_FRAUD_000,FRAUD_TEST_003,Kristina Carrillo,jacobhammond@example.org,001-598-646-5396x1642,"2264 Sierra Overpass Suite 211
Jessicatown, HI 59744",New Michael,Arkansas,52708,182.81.81.140,high_risk,US,2025-07-12 02:35:58.249916,2025-07-12,02:35:58,Late Night Store,Convenience Store,463.22,visa,completed,00,Approved,1357,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
NIGHT_FRAUD_001,FRAUD_TEST_003,Kristina Carrillo,jacobhammond@example.org,001-598-646-5396x1642,"2264 Sierra Overpass Suite 211
Jessicatown, HI 59744",New Michael,Arkansas,52708,182.81.81.140,high_risk,US,2025-07-12 03:49:58.249916,2025-07-12,03:49:58,Late Night Store,Convenience Store,421.27,visa,completed,00,Approved,1357,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
NIGHT_FRAUD_002,FRAUD_TEST_003,Kristina Carrillo,jacobhammond@example.org,001-598-646-5396x1642,"2264 Sierra Overpass Suite 211
Jessicatown, HI 59744",New Michael,Arkansas,52708,182.81.81.140,high_risk,US,2025-07-12 04:12:58.249916,2025-07-12,04:12:58,Late Night Store,Convenience Store,318.02,visa,completed,00,Approved,1357,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
NIGHT_FRAUD_003,FRAUD_TEST_003,Kristina Carrillo,jacobhammond@example.org,001-598-646-5396x1642,"2264 Sierra Overpass Suite 211
Jessicatown, HI 59744",New Michael,Arkansas,52708,182.81.81.140,high_risk,US,2025-07-12 23:41:58.249916,2025-07-12,23:41:58,Late Night Store,Convenience Store,465.87,visa,completed,00,Approved,1357,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
NIGHT_FRAUD_004,FRAUD_TEST_003,Kristina Carrillo,jacobhammond@example.org,001-598-646-5396x1642,"2264 Sierra Overpass Suite 211
Jessicatown, HI 59744",New Michael,Arkansas,52708,182.81.81.140,high_risk,US,2025-07-12 01:40:58.249916,2025-07-12,01:40:58,Late Night Store,Convenience Store,188.26,visa,completed,00,Approved,1357,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
FAKE_DATA_000,FAKE_001,TEST USER,test@10minutemail.com,555-0123,"222 Johnson Lights Apt. 270
Sheltonstad, WA 52442",West April,North Dakota,26762,73.213.118.197,suspicious,US,2025-07-09 20:55:58.249916,2025-07-09,20:55:58,Suspicious Store,Online Retail,110.61,visa,completed,00,Approved,1234,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
FAKE_DATA_001,FAKE_002,JOHN DOE,fake@guerrillamail.com,555-1234,"589 Downs Port
North Micheletown, WI 45950",Lake Barryport,Louisiana,67934,94.147.242.254,suspicious,US,2025-07-09 21:55:58.249916,2025-07-09,21:55:58,Suspicious Store,Online Retail,100.51,visa,completed,00,Approved,2345,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
FAKE_DATA_002,FAKE_003,FRAUD TEST,temp@tempmail.org,555-2345,"32724 Eric Station
Alvaradofort, AL 31334",Lake Kimberly,Tennessee,67319,217.170.84.109,suspicious,US,2025-07-09 22:55:58.249916,2025-07-09,22:55:58,Suspicious Store,Online Retail,173.37,visa,completed,00,Approved,3456,purchase,1000.0,direct,30,1,Windows PC,False,300,5,True,test_pattern,85,test,500
